TimeDate,signal quality,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,lowgamma,mid gamma
13:03:06 12-12-2024,0,51,35,22680,23964,2984,512,12346,16122,3009,5622
13:03:07 12-12-2024,0,56,43,324132,26302,5563,22288,8498,11175,8916,2507
13:03:08 12-12-2024,0,51,48,5624,7435,1200,7430,4354,6527,4558,1474
13:03:09 12-12-2024,0,61,43,8443,21548,9621,10331,6394,10332,7357,2106
13:03:10 12-12-2024,0,48,74,70039,34708,40627,14230,12590,11302,14335,2891
13:03:11 12-12-2024,0,43,67,140514,69314,32459,11373,33278,13128,11931,9288
13:03:12 12-12-2024,0,30,54,65215,74353,3563,14899,32026,11563,8021,4666
13:03:13 12-12-2024,0,38,51,14227,18424,8706,8816,14613,17004,24369,6701
13:03:14 12-12-2024,0,38,47,30316,30532,15929,9306,3591,7845,6650,3766
13:03:15 12-12-2024,0,47,53,10897,17243,14045,5009,4813,8446,11306,3255
13:03:16 12-12-2024,0,53,57,16653,29854,5740,6617,10903,9393,8034,6302
13:03:17 12-12-2024,0,57,60,3104,9054,13755,3288,9311,20275,10731,4993
13:03:18 12-12-2024,0,78,51,70162,17041,3994,13338,8058,39059,11670,3189
13:03:19 12-12-2024,0,80,44,37495,36664,20763,4346,16972,19151,8021,3253
13:03:20 12-12-2024,0,77,51,36197,30242,15446,5461,8363,9980,5259,4548
13:03:21 12-12-2024,0,69,48,9760,28916,20244,2779,18063,19046,5424,2108
13:03:22 12-12-2024,0,44,54,9898,40947,20701,15157,16118,6284,6761,3092
13:03:23 12-12-2024,0,37,54,92230,67247,24337,6086,7497,12864,10731,7759
13:03:24 12-12-2024,0,38,53,9691,37592,6146,11689,2622,12631,4856,1584
13:03:25 12-12-2024,0,34,57,420302,20599,14818,6673,9463,10223,11102,3324
13:03:26 12-12-2024,0,44,60,39315,17092,4560,11986,3940,9491,11807,2924
13:03:27 12-12-2024,0,51,57,39639,17253,3920,5348,6152,6353,3510,2519
13:03:28 12-12-2024,0,54,61,61137,17277,12496,3326,6902,10884,5880,3277
13:03:29 12-12-2024,0,61,51,35344,26187,8961,6332,15097,20760,6657,3196
13:03:30 12-12-2024,0,56,48,52942,21200,7855,5375,2615,6037,8043,3030
13:03:31 12-12-2024,0,54,47,101698,32814,11933,2982,8457,9838,3980,4202
13:03:32 12-12-2024,0,47,51,428892,26477,16603,12352,8038,7511,7560,5203
13:03:33 12-12-2024,0,29,64,101433,44540,37632,5982,6844,7407,6271,2894
13:03:34 12-12-2024,0,30,67,66224,25478,6376,14304,6159,8502,7554,2323
13:03:35 12-12-2024,0,29,70,38547,55990,17945,17778,11009,17703,4242,1413
13:03:36 12-12-2024,0,41,63,12865,13842,2262,8639,5384,10792,4991,2523
13:03:37 12-12-2024,0,56,54,12710,14601,5717,4148,6348,9729,10970,2278
13:03:38 12-12-2024,0,74,51,9180,9450,13053,1847,2637,24498,4590,6655
13:03:39 12-12-2024,0,81,50,17951,35898,9489,15851,10211,26110,12567,3704
13:03:40 12-12-2024,0,78,57,3047,10202,9204,7236,3977,7911,4516,1682
13:03:41 12-12-2024,0,64,54,112638,9539,1660,1548,1713,1499,2029,893
13:03:42 12-12-2024,0,64,48,39070,9692,4945,3889,5887,18168,6113,3207
13:03:43 12-12-2024,0,60,47,30600,23727,10437,4306,10308,9458,10832,2616
13:03:44 12-12-2024,0,60,34,301531,294740,125412,35804,109814,125457,131800,29751
13:03:45 12-12-2024,0,60,29,132674,294214,37187,24974,16456,37912,32980,16653
13:03:46 12-12-2024,0,35,47,259629,45584,72055,9008,15243,10360,33429,11193
13:03:47 12-12-2024,0,35,50,1840957,38363,15189,15549,11203,18130,24653,13165
13:03:48 12-12-2024,0,34,56,318897,24422,13556,9135,14847,11432,10990,10867
13:03:49 12-12-2024,0,35,77,22946,29591,38659,26482,12758,13219,12006,7947
13:03:50 12-12-2024,0,51,63,22477,14721,730,10111,7477,10260,16627,2788
13:03:51 12-12-2024,0,47,51,231266,86982,11655,7266,16408,15488,2000,4760
13:03:52 12-12-2024,0,43,35,96776,166886,17768,8438,18043,34414,12158,6332
13:03:53 12-12-2024,0,47,17,43020,21537,4759,5284,7803,6239,8995,2600
13:03:54 12-12-2024,0,53,17,7225,6357,3000,4269,10340,9864,4404,2238
13:03:55 12-12-2024,0,56,14,9800,22439,1909,4157,13982,6144,7375,3409
13:03:56 12-12-2024,0,40,34,163801,89844,57546,2998,11711,5808,4272,3239
13:03:57 12-12-2024,0,44,40,12496,18533,6071,10775,8493,11396,5776,8582
13:03:58 12-12-2024,0,21,47,505968,25730,17610,7095,12109,3280,2980,1822
13:03:59 12-12-2024,0,3,57,10152,63643,18225,10117,10317,3813,5404,1831
